iter	Passed	Remaining
603	1331	872
604	1332	870
605	1333	866
606	1334	864
607	1335	861
608	1336	858
609	1337	855
610	1338	852
611	1339	849
612	1340	846
613	1341	843
614	1342	840
615	1343	837
616	1344	834
617	1345	831
618	1346	828
619	1347	825
620	1348	822
621	1349	819
622	1350	816
623	1351	814
624	1352	811
625	1353	808
626	1354	805
627	1355	802
628	1356	799
629	1357	797
630	1358	794
631	1359	791
632	1360	788
633	1360	785
634	1361	782
635	1362	780
636	1363	777
637	1364	774
638	1365	771
639	1366	768
640	1367	765
641	1368	763
642	1369	760
643	1370	757
644	1371	755
645	1372	752
646	1373	749
647	1374	746
648	1375	743
649	1376	741
650	1377	738
651	1378	735
652	1378	732
653	1379	730
654	1380	727
655	1381	724
656	1382	721
657	1383	719
658	1384	716
659	1385	713
660	1386	711
661	1387	708
662	1388	705
663	1388	702
664	1389	700
665	1390	697
666	1391	694
667	1392	692
668	1393	689
669	1394	686
670	1395	684
671	1396	681
672	1397	678
673	1397	676
674	1398	673
675	1399	670
676	1400	668
677	1401	665
678	1402	662
679	1403	660
680	1404	657
681	1405	655
682	1405	652
683	1406	649
684	1407	647
685	1408	644
686	1409	642
687	1410	639
688	1411	636
689	1411	634
690	1412	631
691	1413	629
692	1415	626
693	1416	624
694	1417	621
695	1417	619
696	1418	616
697	1419	614
698	1420	611
699	1421	609
700	1422	606
701	1423	604
702	1424	601
703	1424	599
704	1425	596
705	1426	594
706	1427	591
707	1428	589
708	1429	586
709	1430	584
710	1431	581
711	1432	579
712	1433	576
713	1434	574
714	1434	571
715	1435	569
716	1437	567
717	1438	564
718	1438	562
719	1439	559
720	1440	557
721	1441	555
722	1442	552
723	1443	550
724	1444	547
725	1445	545
726	1446	543
727	1447	540
728	1448	538
729	1449	535
730	1449	533
731	1450	531
732	1451	528
733	1452	526
734	1453	524
735	1454	521
736	1455	519
737	1456	516
738	1457	514
739	1458	512
740	1458	509
741	1459	507
742	1460	505
743	1461	502
744	1462	500
745	1463	498
746	1464	495
747	1464	493
748	1465	491
749	1466	488
750	1467	486
751	1468	484
752	1469	481
753	1470	479
754	1471	477
755	1471	475
756	1472	472
757	1473	470
758	1474	468
759	1475	465
760	1476	463
761	1477	461
762	1478	459
763	1478	456
764	1479	454
765	1480	452
766	1481	450
767	1482	447
768	1483	445
769	1484	443
770	1485	441
771	1485	438
772	1486	436
773	1487	434
774	1488	432
775	1489	429
776	1490	427
777	1491	425
778	1492	423
779	1492	421
780	1493	418
781	1494	416
782	1495	414
783	1496	412
784	1497	410
785	1498	407
786	1499	405
787	1500	403
788	1501	401
789	1502	399
790	1503	397
791	1504	395
792	1505	392
793	1506	390
794	1507	388
795	1508	386
796	1509	384
797	1509	382
798	1510	380
799	1511	377
800	1512	375
801	1513	373
802	1514	371
803	1515	369
804	1516	367
805	1517	365
806	1518	363
807	1519	360
808	1520	358
809	1521	356
810	1522	354
811	1523	352
812	1523	350
813	1524	348
814	1525	346
815	1526	344
816	1527	342
817	1528	340
818	1529	338
819	1530	336
820	1531	333
821	1532	331
822	1533	329
823	1534	327
824	1535	325
825	1536	323
826	1537	321
827	1538	319
828	1539	317
829	1539	315
830	1540	313
831	1541	311
832	1542	309
833	1543	307
834	1544	305
835	1545	303
836	1546	301
837	1546	299
838	1547	297
839	1548	295
840	1549	293
841	1550	290
842	1551	288
843	1552	286
844	1553	284
845	1554	282
846	1555	280
847	1556	278
848	1557	276
849	1558	274
850	1558	272
851	1559	270
852	1560	268
853	1561	266
854	1562	265
855	1563	263
856	1564	261
857	1565	259
858	1566	257
859	1567	255
860	1568	253
861	1569	251
862	1570	249
863	1571	247
864	1572	245
865	1573	243
866	1573	241
867	1574	239
868	1575	237
869	1576	235
870	1577	233
871	1578	231
872	1579	229
873	1580	227
874	1581	225
875	1582	224
876	1583	222
877	1584	220
878	1585	218
879	1586	216
880	1587	214
881	1588	212
882	1589	210
883	1590	208
884	1591	206
885	1592	204
886	1593	202
887	1594	201
888	1595	199
889	1595	197
890	1596	195
891	1597	193
892	1598	191
893	1599	189
894	1600	187
895	1601	185
896	1602	184
897	1603	182
898	1604	180
899	1605	178
900	1606	176
901	1606	174
902	1607	172
903	1608	170
904	1609	168
905	1610	167
906	1611	165
907	1612	163
908	1613	161
909	1614	159
910	1614	157
911	1615	155
912	1616	154
913	1617	152
914	1618	150
915	1619	148
916	1620	146
917	1621	144
918	1622	142
919	1623	141
920	1623	139
921	1624	137
922	1625	135
923	1626	133
924	1627	131
925	1628	130
926	1628	128
927	1629	126
928	1630	124
929	1631	122
930	1632	120
931	1633	119
932	1634	117
933	1635	115
934	1635	113
935	1636	111
936	1637	110
937	1638	108
938	1639	106
939	1640	104
940	1641	102
941	1642	101
942	1643	99
943	1643	97
944	1644	95
945	1645	93
946	1646	92
947	1647	90
948	1648	88
949	1649	86
950	1650	85
951	1650	83
952	1651	81
953	1652	79
954	1653	77
955	1654	76
956	1655	74
957	1656	72
958	1657	70
959	1658	69
960	1659	67
961	1660	65
962	1660	63
963	1661	62
964	1662	60
965	1663	58
966	1664	56
967	1665	55
968	1666	53
969	1666	51
970	1667	49
971	1668	48
972	1669	46
973	1670	44
974	1671	42
975	1672	41
976	1673	39
977	1674	37
978	1675	35
979	1675	34
980	1676	32
981	1677	30
982	1678	29
983	1679	27
984	1680	25
985	1681	23
986	1682	22
987	1682	20
988	1683	18
989	1684	17
990	1685	15
991	1686	13
992	1687	11
993	1688	10
994	1689	8
995	1690	6
996	1691	5
997	1691	3
998	1692	1
999	1693	0
